Book,Section Number,Start Chapter,Start Verse,Start Sub-verse,Start OGNTsort,End Chapter,End Verse,End Sub-verse,End OGNTsort,Note
"Mt",1,1,1,"","000001",1,16,"","000246",""
"Mt",2,1,17,"","000247",1,17,"","000275",""
"Mt",3,1,18,"","000276",1,18,"","000301",""
"Mt",4,1,19,"","000302",2,4,"","000503",""
"Mt",5,2,5,"","000504",2,6,"","000541",""
"Mt",6,2,7,"","000542",2,23,"","000893",""
"Mt",7,3,1,"","000894",3,2,"","000917",""
"Mt",8,3,3,"","000918",3,3,"","000941",""
"Mt",9,3,4,"","000942",3,6,"","000995",""
"Mt",10,3,7,"","000996",3,10,"","001072",""
"Mt",11,3,11,"","001073",3,11,"","001103",""
"Mt",12,3,12,"","001104",3,12,"","001129",""
"Mt",13,3,13,"","001130",3,15,"","001183",""
"Mt",14,3,16,"","001184",3,17,"","001228",""
"Mt",15,4,1,"","001229",4,1,"","001242",""
"Mt",16,4,2,"","001243",4,10,"","001400",""
"Mt",17,4,11,"","001401",4,11,"","001412",""
"Mt",18,4,12,"","001413",4,12,"","001421",""
"Mt",19,4,13,"","001422",4,16,"","001478",""
"Mt",20,4,17,"","001479",4,18,"","001520",""
"Mt",21,4,19,"","001521",4,20,"","001539",""
"Mt",22,4,21,"","001540",4,22,"","001582",""
"Mt",23,4,23,"","001583",4,25,"","001657",""
"Mt",24,5,1,"","001658",5,1,"","001673",""
"Mt",25,5,2,"","001674",5,3,"","001693",""
"Mt",26,5,5,"","001700",5,5,"","001707","section 27V is before 26X"
"Mt",27,5,4,"","001694",5,4,"","001699","section 27V is before 26X"
"Mt",28,5,6,"","001708",5,6,"","001717",""
"Mt",29,5,7,"","001718",5,10,"","001753",""
"Mt",30,5,11,"","001754",5,12,"","001788",""
"Mt",31,5,13,"","001789",5,13,"","001814",""
"Mt",32,5,14,"","001815",5,16,"","001870",""
"Mt",33,5,17,"","001871",5,17,"","001885",""
"Mt",34,5,18,"","001886",5,18,"","001912",""
"Mt",35,5,19,"","001913",5,24,"","002066",""
"Mt",36,5,25,"","002067",5,26,"","002109",""
